name,organizer_facebook,organizer_name,organizer_website,organizer_twitter,first_performer,second_performer,timezone,id,start_date,start_time,end_date,end_time,summary,city,country,region,localized_address_display,postal_code,street_address,latitude,longitude,images,listing_url
HAWKSLEY WORKMAN,refinedfool,Refined Fool Brewing Co.,https://www.refinedfool.com,refinedfool,,,America/Toronto,329712347507,2022-07-07,20:00,2022-07-07,23:00,Hawksley Workman - Intimate & Interactive  at Refined Fool Brewing Co.,Sarnia,CA,ON,"1326 London Road, Sarnia, ON N7S 1P7",N7S 1P7,1326 London Road,42.9803995,-82.356867,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F274902429%2F181457685177%2F1%2Foriginal.20220428-130645?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C92%2C6144%2C3072&s=0032bf342b1944a68e83ff14b560e11d,https://www.eventbrite.ca/e/hawksley-workman-tickets-329712347507
ARON and BABAK LIVE IN TORONTO,,Seday Ashena Music Ltd,https://ashenamusic.ca,,,,America/Toronto,226431672227,2022-07-24,20:00,2022-07-24,23:00,"Pop sensations from Tehran embark on their  Canadian tour with his highly anticipated performance on July 24th, 2022 at John Basse",Toronto,CA,ON,"255 Front Street West, Toronto, ON M5V 2W6",M5V 2W6,255 Front Street West,43.6437485,-79.38788679999999,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F292652939%2F187879861915%2F1%2Foriginal.20220527-113941?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=108%2C54%2C1960%2C980&s=f807fa0d039822f104ddb311b4cb539f,https://www.eventbrite.ca/e/aron-and-babak-live-in-toronto-tickets-226431672227
"Empire Rockfest Weekend Pass - TLC, The  Headstones, The Glorious Sons",,The Empire Theatre,https://theempiretheatre.com/,,"TLC, The Headstones, The Glorious Sons",,America/Toronto,322691227147,2022-07-14,19:00,2022-07-16,23:30,EMPIRE ROCKFEST WEEKEND PASS,Belleville,CA,ON,"353 Front St., Belleville, ON K8N 5M5",K8N 5M5,353 Front St.,44.167961,-77.385773,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F307694729%2F266624675939%2F1%2Foriginal.20220623-135203?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=af0a65bcf9c7933c5c59da0647a62e03,https://www.eventbrite.ca/e/empire-rockfest-weekend-pass-tlc-the-headstones-the-glorious-sons-tickets-322691227147
"Empire Rockfest Weekend Pass - TLC, The  Headstones, The Glorious Sons",,The Empire Theatre,https://theempiretheatre.com/,,"TLC, The Headstones, The Glorious Sons",,America/Toronto,322691227147,2022-07-14,19:00,2022-07-16,23:30,EMPIRE ROCKFEST WEEKEND PASS,Belleville,CA,ON,"353 Front St., Belleville, ON K8N 5M5",K8N 5M5,353 Front St.,44.167961,-77.385773,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F307694729%2F266624675939%2F1%2Foriginal.20220623-135203?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=af0a65bcf9c7933c5c59da0647a62e03,https://www.eventbrite.ca/e/empire-rockfest-weekend-pass-tlc-the-headstones-the-glorious-sons-tickets-322691227147
I LUV RNB  - Day Party - Celebrating the birthday of DJ Charlie B,events/446399319501310,ON POINT ENT,,phillyope,,,America/Toronto,343824828317,2022-07-10,17:00,2022-07-10,22:00,I,Toronto,CA,ON,"473 Adelaide Street West, Toronto, ON M5V 1T1",M5V 1T1,473 Adelaide Street West,43.645568,-79.39985829999999,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F309714089%2F184588817746%2F1%2Foriginal.20220628-025328?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=26%2C835%2C1030%2C515&s=39c6b7b6738793cd7f1bf7f7640a6cc0,https://www.eventbrite.ca/e/i-luv-rnb-day-party-celebrating-the-birthday-of-dj-charlie-b-tickets-343824828317
CARIBANA SEND OFF / OVO CONCERT AFTER PARTY,,Aaron CJ Hastings,,,,,America/Toronto,274241653167,2022-08-01,22:00,2022-08-02,03:00,THE CARIBANA /CARNIVAL SEND OFF INSIDE JULIET! JOIN US FOR THE OVO CONCERT AFTER PARTY!,TORONTO,CA,ON,"JULIET NIGHTCLUB 510 KING ST WEST, TORONTO, ON M6J0C5",M6J0C5,JULIET NIGHTCLUB,43.6452276,-79.3970691,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F233811119%2F162438283840%2F1%2Foriginal.20220221-154600?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C317%2C1080%2C540&s=78f619c3c9f02d8105c2c3042fa29cac,https://www.eventbrite.ca/e/caribana-send-off-ovo-concert-after-party-tickets-274241653167
WELCOME   TO CARIBNA 2022,,Aaron CJ Hastings,,,,,America/Toronto,273422051717,2022-07-27,22:00,2022-07-28,03:00,WELCOME TO TORONTO CARIBANA! THE FIRST AND BIGGEST PARTY OF THE WEEK DOWNTOWN TORONTO INSIDE JULIET NIGHTCLUB!,TORONTO,CA,ON,"JULIET NIGHTCLUB 510 KING ST WEST, TORONTO, ON M6J0C5",M6J0C5,JULIET NIGHTCLUB,43.6452276,-79.3970691,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F233034139%2F162438283840%2F1%2Foriginal.20220219-134837?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C232%2C1080%2C540&s=7ec9ed5737b89344e7f9372b956b0716,https://www.eventbrite.ca/e/welcome-to-caribna-2022-tickets-273422051717
R&B Concert on a Pirate Ship,events/2301931380136482,Waveland Canada,http://Waveland.ca,,,,America/Toronto,333608741727,2022-07-01,19:30,2022-07-01,20:30,"An intimate R&B Concert on a pirate ship flourished in fairy lights, sailing across the Toronto skyline.",Toronto,CA,ON,"585 Queens Quay West, Toronto, ON M5V 3G3",M5V 3G3,585 Queens Quay West,43.6363956,-79.3970954,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F277929559%2F98742133201%2F1%2Foriginal.20210909-144114?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C284%2C2094%2C1047&s=63e6c61b34c765a4dd7eed0a0ce47cd6,https://www.eventbrite.ca/e/rb-concert-on-a-pirate-ship-tickets-333608741727
Midge Ure,,The Sousa Group,,,,,America/Toronto,331211441337,2022-07-05,18:30,2022-07-05,21:00,Very few artists have had the impact in the music industy as Midge Ure has had. Don't miss this legend perform a full solo acoustic set .,Toronto,CA,ON,"464 Spadina Avenue #462, Toronto, ON M5T 2G8",M5T 2G8,464 Spadina Avenue,43.657591,-79.4001992,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F277832889%2F329081349551%2F1%2Foriginal.20220503-174731?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C105%2C3000%2C1500&s=2cbf7391cdd08bc17df945b0eaf47337,https://www.eventbrite.ca/e/midge-ure-tickets-331211441337
Midge Ure,,The Sousa Group,,,,,America/Toronto,331211441337,2022-07-05,18:30,2022-07-05,21:00,Very few artists have had the impact in the music industy as Midge Ure has had. Don't miss this legend perform a full solo acoustic set .,Toronto,CA,ON,"464 Spadina Avenue #462, Toronto, ON M5T 2G8",M5T 2G8,464 Spadina Avenue,43.657591,-79.4001992,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F277832889%2F329081349551%2F1%2Foriginal.20220503-174731?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C105%2C3000%2C1500&s=2cbf7391cdd08bc17df945b0eaf47337,https://www.eventbrite.ca/e/midge-ure-tickets-331211441337
